"","age","production","language","n","prop_produced"
"294",21,132,"Spanish (European)",588,0.224489795918367
"295",21,169,"Spanish (European)",588,0.287414965986395
"296",21,119,"Spanish (European)",588,0.202380952380952
"297",21,195,"Spanish (European)",588,0.331632653061224
"298",21,55,"Spanish (European)",588,0.0935374149659864
"299",21,145,"Spanish (European)",588,0.246598639455782
"300",21,221,"Spanish (European)",588,0.375850340136054
"301",21,271,"Spanish (European)",588,0.460884353741497
"302",21,353,"Spanish (European)",588,0.600340136054422
"303",22,337,"Spanish (European)",588,0.57312925170068
"304",22,194,"Spanish (European)",588,0.329931972789116
"305",22,183,"Spanish (European)",588,0.311224489795918
"306",22,101,"Spanish (European)",588,0.171768707482993
"307",22,20,"Spanish (European)",588,0.0340136054421769
"308",22,158,"Spanish (European)",588,0.268707482993197
"309",22,236,"Spanish (European)",588,0.401360544217687
"310",22,52,"Spanish (European)",588,0.0884353741496599
"311",22,15,"Spanish (European)",588,0.0255102040816327
"312",22,302,"Spanish (European)",588,0.513605442176871
"313",22,343,"Spanish (European)",588,0.583333333333333
"314",23,229,"Spanish (European)",588,0.389455782312925
"315",24,148,"Spanish (European)",588,0.251700680272109
"316",23,278,"Spanish (European)",588,0.472789115646259
"317",23,63,"Spanish (European)",588,0.107142857142857
"318",23,166,"Spanish (European)",588,0.282312925170068
"319",24,376,"Spanish (European)",588,0.639455782312925
"320",24,81,"Spanish (European)",588,0.137755102040816
"321",24,338,"Spanish (European)",588,0.574829931972789
"322",24,103,"Spanish (European)",588,0.175170068027211
"323",24,279,"Spanish (European)",588,0.474489795918367
"324",24,70,"Spanish (European)",588,0.119047619047619
"325",24,303,"Spanish (European)",588,0.51530612244898
"326",24,54,"Spanish (European)",588,0.0918367346938776
"327",24,105,"Spanish (European)",588,0.178571428571429
"328",24,122,"Spanish (European)",588,0.207482993197279
"329",24,294,"Spanish (European)",588,0.5
"330",24,68,"Spanish (European)",588,0.115646258503401
"331",24,214,"Spanish (European)",588,0.363945578231293
"332",24,281,"Spanish (European)",588,0.477891156462585
"333",24,509,"Spanish (European)",588,0.865646258503401
"334",25,222,"Spanish (European)",588,0.377551020408163
"335",25,251,"Spanish (European)",588,0.42687074829932
"336",25,389,"Spanish (European)",588,0.66156462585034
"337",25,166,"Spanish (European)",588,0.282312925170068
"338",25,200,"Spanish (European)",588,0.340136054421769
"339",25,30,"Spanish (European)",588,0.0510204081632653
"340",25,334,"Spanish (European)",588,0.568027210884354
"341",25,177,"Spanish (European)",588,0.301020408163265
"342",25,148,"Spanish (European)",588,0.251700680272109
"343",25,253,"Spanish (European)",588,0.430272108843537
"344",25,270,"Spanish (European)",588,0.459183673469388
"345",26,286,"Spanish (European)",588,0.486394557823129
"346",26,475,"Spanish (European)",588,0.807823129251701
"347",26,281,"Spanish (European)",588,0.477891156462585
"348",26,133,"Spanish (European)",588,0.226190476190476
"349",26,483,"Spanish (European)",588,0.821428571428571
"350",26,75,"Spanish (European)",588,0.127551020408163
"351",26,286,"Spanish (European)",588,0.486394557823129
"352",26,305,"Spanish (European)",588,0.518707482993197
"353",26,322,"Spanish (European)",588,0.547619047619048
"354",26,462,"Spanish (European)",588,0.785714285714286
