"","language","category","uni_lemma","item_definition","lexical_category"
"1","Spanish (Mexican)","pronouns","1PL","nosotros","function_words"
"2","Spanish (Argentinian)","pronouns","1PL","nosotros","function_words"
"3","Spanish (Mexican)","pronouns","1PL.POSS","nuestro","function_words"
"4","Spanish (Argentinian)","pronouns","1PL.POSS","nuestro","function_words"
"5","Spanish (European)","pronouns","1SG","conmigo","function_words"
"6","Spanish (European)","pronouns","1SG","(para) mí","function_words"
"7","Spanish (European)","pronouns","1SG","yo","function_words"
"8","Spanish (Mexican)","pronouns","1SG","me","function_words"
"9","Spanish (Mexican)","pronouns","1SG","yo","function_words"
"10","Spanish (Peruvian)","pronouns","1SG","conmigo","function_words"
"11","Spanish (Peruvian)","pronouns","1SG","(para) mí","function_words"
"12","Spanish (Peruvian)","pronouns","1SG","yo","function_words"
"13","Spanish (Argentinian)","pronouns","1SG","yo","function_words"
"14","Spanish (European)","pronouns","1SG.POSS","mí","function_words"
"15","Spanish (European)","pronouns","1SG.POSS","mío/mía","function_words"
"16","Spanish (European)","pronouns","1SG.POSS","míos/mías","function_words"
"17","Spanish (Mexican)","pronouns","1SG.POSS","mí","function_words"
"18","Spanish (Mexican)","pronouns","1SG.POSS","mía","function_words"
"19","Spanish (Mexican)","pronouns","1SG.POSS","mías","function_words"
"20","Spanish (Mexican)","pronouns","1SG.POSS","mío","function_words"
"21","Spanish (Mexican)","pronouns","1SG.POSS","míos","function_words"
"22","Spanish (Peruvian)","pronouns","1SG.POSS","mío/mía","function_words"
"23","Spanish (Peruvian)","pronouns","1SG.POSS","míos/mías","function_words"
"24","Spanish (Argentinian)","pronouns","1SG.POSS","mi","function_words"
"25","Spanish (Argentinian)","pronouns","1SG.POSS","mía","function_words"
"26","Spanish (Argentinian)","pronouns","1SG.POSS","mías","function_words"
"27","Spanish (Argentinian)","pronouns","1SG.POSS","mío","function_words"
"28","Spanish (Argentinian)","pronouns","1SG.POSS","míos","function_words"
"29","Spanish (European)","pronouns","2SG","contigo","function_words"
"30","Spanish (European)","pronouns","2SG","(para) ti","function_words"
"31","Spanish (European)","pronouns","2SG","tú","function_words"
"32","Spanish (Mexican)","pronouns","2SG","te (pronouns)","function_words"
"33","Spanish (Mexican)","pronouns","2SG","tí","function_words"
"34","Spanish (Mexican)","pronouns","2SG","tú","function_words"
"35","Spanish (Peruvian)","pronouns","2SG","contigo","function_words"
"36","Spanish (Peruvian)","pronouns","2SG","(para) ti","function_words"
"37","Spanish (Peruvian)","pronouns","2SG","tu","function_words"
"38","Spanish (Argentinian)","pronouns","2SG","te","function_words"
"39","Spanish (Argentinian)","pronouns","2SG","tu","function_words"
"40","Spanish (European)","pronouns","2SG.POSS","tu","function_words"
"41","Spanish (European)","pronouns","2SG.POSS","tuyo/tuya","function_words"
"42","Spanish (European)","pronouns","2SG.POSS","tuyos/tuyas","function_words"
"43","Spanish (Mexican)","pronouns","2SG.POSS","tuya","function_words"
"44","Spanish (Mexican)","pronouns","2SG.POSS","tuyas","function_words"
"45","Spanish (Mexican)","pronouns","2SG.POSS","tuyo","function_words"
"46","Spanish (Mexican)","pronouns","2SG.POSS","tuyos","function_words"
"47","Spanish (Peruvian)","pronouns","2SG.POSS","tú","function_words"
"48","Spanish (Peruvian)","pronouns","2SG.POSS","tuyo(a)","function_words"
"49","Spanish (Peruvian)","pronouns","2SG.POSS","tuyos(as)","function_words"
"50","Spanish (Argentinian)","pronouns","2SG.POSS","tuya","function_words"
"51","Spanish (Argentinian)","pronouns","2SG.POSS","tuyas","function_words"
"52","Spanish (Argentinian)","pronouns","2SG.POSS","tuyo","function_words"
"53","Spanish (Argentinian)","pronouns","2SG.POSS","tuyos","function_words"
"54","Spanish (European)","pronouns","3PL","ellos/as","function_words"
"55","Spanish (Mexican)","pronouns","3PL","ellas","function_words"
"56","Spanish (Mexican)","pronouns","3PL","ellos","function_words"
"57","Spanish (Mexican)","pronouns","3PL","les","function_words"
"58","Spanish (Peruvian)","pronouns","3PL","ellos(as)","function_words"
"59","Spanish (Argentinian)","pronouns","3PL","ellos","function_words"
"60","Spanish (Argentinian)","pronouns","3PL","ellas","function_words"
"61","Spanish (Argentinian)","pronouns","3PL","les","function_words"
"62","Spanish (European)","pronouns","3SG","él","function_words"
"63","Spanish (European)","pronouns","3SG","ella","function_words"
"64","Spanish (Mexican)","pronouns","3SG","él (pronouns)","function_words"
"65","Spanish (Mexican)","pronouns","3SG","ella","function_words"
"66","Spanish (Mexican)","pronouns","3SG","le","function_words"
"67","Spanish (Mexican)","pronouns","3SG","lo","function_words"
"68","Spanish (Peruvian)","pronouns","3SG","él","function_words"
"69","Spanish (Peruvian)","pronouns","3SG","ella","function_words"
"70","Spanish (Argentinian)","pronouns","3SG","él","function_words"
"71","Spanish (Argentinian)","pronouns","3SG","ella","function_words"
"72","Spanish (Argentinian)","pronouns","3SG","le_le","function_words"
"73","Spanish (Argentinian)","pronouns","3SG","lo","function_words"
"74","Spanish (Argentinian)","pronouns","3SG","me","function_words"
"75","Spanish (European)","pronouns","3SG.POSS","su","function_words"
"76","Spanish (European)","pronouns","3SG.POSS","suyo/a","function_words"
"77","Spanish (Mexican)","pronouns","3SG.POSS","su","function_words"
"78","Spanish (Mexican)","pronouns","3SG.POSS","suya","function_words"
"79","Spanish (Mexican)","pronouns","3SG.POSS","suyas","function_words"
"80","Spanish (Mexican)","pronouns","3SG.POSS","suyo","function_words"
"81","Spanish (Mexican)","pronouns","3SG.POSS","suyos","function_words"
"82","Spanish (Peruvian)","pronouns","3SG.POSS","su","function_words"
"83","Spanish (Argentinian)","pronouns","3SG.POSS","su","function_words"
"84","Spanish (Argentinian)","pronouns","3SG.POSS","suya","function_words"
"85","Spanish (Argentinian)","pronouns","3SG.POSS","suyas","function_words"
"86","Spanish (Argentinian)","pronouns","3SG.POSS","suyo","function_words"
"87","Spanish (Argentinian)","pronouns","3SG.POSS","suyos","function_words"
"88","Spanish (Mexican)","pronouns","REFL","se","function_words"
"89","Spanish (Argentinian)","pronouns","REFL","se","function_words"
"90","Spanish (European)","articles","a","un","function_words"
"91","Spanish (European)","articles","a","uno","function_words"
"92","Spanish (European)","articles","a","una","function_words"
"93","Spanish (Mexican)","prepositions","a","un","function_words"
"94","Spanish (Mexican)","prepositions","a","una","function_words"
"95","Spanish (Argentinian)","quantifiers","a","un","function_words"
"96","Spanish (Argentinian)","quantifiers","a","una","function_words"
"97","Spanish (Mexican)","quantifiers","a lot","mucho","function_words"
"98","Spanish (Peruvian)","quantifiers","a lot","un montón","function_words"
"99","Spanish (Argentinian)","descriptive_words (adverbs)","a lot","mucho","predicates"
"100","Spanish (European)","descriptive_words","afraid","asustado","predicates"
"101","Spanish (European)","descriptive_words","afraid","miedo","predicates"
"102","Spanish (European)","time_words","after","después","other"
"103","Spanish (Mexican)","time_words","after","después","other"
"104","Spanish (Peruvian)","time_words","after","después/luego","other"
"105","Spanish (Argentinian)","time_words","after","después","other"
"106","Spanish (Mexican)","time_words","afternoon","en la tarde","other"
"107","Spanish (Peruvian)","time_words","afternoon","tarde (por la/en la)","other"
"108","Spanish (European)","articles","again","otra vez","function_words"
"109","Spanish (Mexican)","quantifiers","again","otro/otra vez","function_words"
"110","Spanish (Peruvian)","quantifiers","again","otra vez","function_words"
"111","Spanish (Argentinian)","descriptive_words (adverbs)","again","otro_otra_vez","predicates"
"112","Spanish (European)","vehicles","airplane","avión","nouns"
"113","Spanish (Mexican)","vehicles","airplane","avión","nouns"
"114","Spanish (Peruvian)","vehicles","airplane","avión","nouns"
"115","Spanish (Argentinian)","vehicles","airplane","avión","nouns"
"116","Spanish (European)","articles","all","todas/os","function_words"
"117","Spanish (Mexican)","quantifiers","all","todo","function_words"
"118","Spanish (Peruvian)","quantifiers","all","todos(as)","function_words"
"119","Spanish (Argentinian)","descriptive_words (adverbs)","all","todo","predicates"
"120","Spanish (European)","games_routines","all done","ya está","other"
"121","Spanish (Argentinian)","games_routines","all done","ya_está_listo","other"
"122","Spanish (European)","locations","almost","casi","function_words"
"123","Spanish (Peruvian)","locations","almost","casi","function_words"
"124","Spanish (European)","descriptive_words","alone","solo","predicates"
"125","Spanish (Argentinian)","descriptive_words","alone","solo","predicates"
"126","Spanish (European)","time_words","already","ya","other"
"127","Spanish (Mexican)","quantifiers","already","ya","function_words"
"128","Spanish (Peruvian)","time_words","already","ya","other"
"129","Spanish (Argentinian)","descriptive_words (adverbs)","already","ya","predicates"
"130","Spanish (European)","articles","also","también","function_words"
"131","Spanish (Peruvian)","quantifiers","also","también","function_words"
"132","Spanish (Argentinian)","connecting_words","also","también","function_words"
"133","Spanish (European)","vehicles","ambulance","ambulancia","nouns"
"134","Spanish (Peruvian)","vehicles","ambulance","ambulancia","nouns"
"135","Spanish (Argentinian)","vehicles","ambulance","ambulancia","nouns"
"136","Spanish (European)","connecting_words","and","y","function_words"
"137","Spanish (Mexican)","connecting_words","and","y","function_words"
"138","Spanish (Peruvian)","connecting_words","and","y","function_words"
"139","Spanish (Argentinian)","connecting_words","and","y","function_words"
"140","Spanish (European)","descriptive_words","angry","enfadado","predicates"
"141","Spanish (Mexican)","descriptive_words","angry","enojado","predicates"
"142","Spanish (Peruvian)","descriptive_words","angry","molesto/enojado/asado/enfadado","predicates"
"143","Spanish (Argentinian)","descriptive_words","angry","enojado","predicates"
"144","Spanish (European)","animals","animal","animal","nouns"
"145","Spanish (Mexican)","animals","animal","animal","nouns"
"146","Spanish (Peruvian)","animals","animal","animal","nouns"
"147","Spanish (Argentinian)","animals","animal","animal","nouns"
"148","Spanish (European)","animals","ant","hormiga","nouns"
"149","Spanish (Mexican)","animals","ant","hormiga","nouns"
"150","Spanish (Peruvian)","animals","ant","hormiga","nouns"
"151","Spanish (Argentinian)","animals","ant","hormiga","nouns"
"152","Spanish (European)","articles","any","alguno/a","function_words"
"153","Spanish (Peruvian)","quantifiers","any","nada","function_words"
"154","Spanish (European)","food_drink","apple","manzana","nouns"
"155","Spanish (Mexican)","food_drink","apple","manzana","nouns"
"156","Spanish (Peruvian)","food_drink","apple","manzana","nouns"
"157","Spanish (Argentinian)","food_drink","apple","manzana","nouns"
"158","Spanish (European)","body_parts","arm","brazos","nouns"
"159","Spanish (Mexican)","body_parts","arm","brazo","nouns"
"160","Spanish (Peruvian)","body_parts","arm","brazo(s)","nouns"
"161","Spanish (Argentinian)","body_parts","arm","brazo","nouns"
"162","Spanish (European)","people","aunt","tía","other"
"163","Spanish (Mexican)","people","aunt","tía","other"
"164","Spanish (Argentinian)","people","aunt","tía","other"
"165","Spanish (Mexican)","descriptive_words","awake","despierto","predicates"
"166","Spanish (Argentinian)","descriptive_words","awake","despierto","predicates"
"167","Spanish (Mexican)","sounds","baa baa","bee/mee","other"
"168","Spanish (Peruvian)","sounds","baa baa","beee (oveja)","other"
"169","Spanish (Argentinian)","sounds","baa baa","bee_mee","other"
"170","Spanish (European)","people","baby","nene/a","other"
"171","Spanish (Mexican)","people","baby","bebé","other"
"172","Spanish (Argentinian)","people","baby","bebé","other"
"173","Spanish (European)","people","babysitter","tata","other"
"174","Spanish (Mexican)","people","babysitter","nana","other"
"175","Spanish (Peruvian)","people","babysitter","nana/niñera/mama","other"
"176","Spanish (Argentinian)","people","babysitter","niñera","other"
"177","Spanish (European)","locations","back (location)","detrás","function_words"
"178","Spanish (Mexican)","locations","back (location)","atrás","function_words"
"179","Spanish (Argentinian)","locations","back (location)","atrás","function_words"
"180","Spanish (European)","descriptive_words","bad","malo","predicates"
"181","Spanish (Mexican)","descriptive_words","bad","malo","predicates"
"182","Spanish (Peruvian)","descriptive_words","bad","malo","predicates"
"183","Spanish (Argentinian)","descriptive_words","bad","malo","predicates"
"184","Spanish (Mexican)","household","bag","bolsa (household)","nouns"
"185","Spanish (Argentinian)","clothing","bag","cartera","nouns"
"186","Spanish (Argentinian)","household","bag","bolsa_bolsita","nouns"
"187","Spanish (European)","toys","ball","balón","nouns"
"188","Spanish (European)","toys","ball","fútbol","nouns"
"189","Spanish (European)","toys","ball","pelota","nouns"
"190","Spanish (Mexican)","toys","ball","pelota","nouns"
"191","Spanish (Peruvian)","toys","ball","pelota","nouns"
"192","Spanish (Argentinian)","toys","ball","pelota","nouns"
"193","Spanish (European)","toys","balloon","globo","nouns"
"194","Spanish (Mexican)","toys","balloon","globo/bomba","nouns"
"195","Spanish (Peruvian)","toys","balloon","globo","nouns"
"196","Spanish (Argentinian)","toys","balloon","Globo","nouns"
"197","Spanish (Mexican)","food_drink","banana","plátano/banana","nouns"
"198","Spanish (Argentinian)","food_drink","banana","banana","nouns"
"199","Spanish (Mexican)","sounds","bang bang","¡pum!","other"
"200","Spanish (Argentinian)","sounds","bang bang","!Pum!","other"
"201","Spanish (European)","outside_places","bank","banco","other"
"202","Spanish (Mexican)","places","bank","banco (places)","other"
"203","Spanish (Peruvian)","outside","bank","banco/banca","nouns"
"204","Spanish (Mexican)","household","basket","canasta","nouns"
"205","Spanish (Argentinian)","household","basket","canasta","nouns"
"206","Spanish (European)","household","bath","baño","nouns"
"207","Spanish (Peruvian)","games_routines","bath","ven a bañarte/vamos a bañarte/al agua pato","other"
"208","Spanish (Peruvian)","household","bath","baño","nouns"
"209","Spanish (Peruvian)","action_words","bath","bañar(se)","predicates"
"210","Spanish (European)","games_routines","bathe","a bañar","other"
"211","Spanish (European)","action_words","bathe","bañar(se)","predicates"
"212","Spanish (Argentinian)","action_words","bathe","bañar_se","predicates"
"213","Spanish (Mexican)","furniture_rooms","bathroom","baño","nouns"
"214","Spanish (Peruvian)","household","bathroom","lavatorio","nouns"
"215","Spanish (Argentinian)","furniture_rooms","bathroom","baño","nouns"
"216","Spanish (European)","household","bathtub","bañera","nouns"
"217","Spanish (Mexican)","furniture_rooms","bathtub","tina","nouns"
"218","Spanish (Peruvian)","household","bathtub","tina","nouns"
"219","Spanish (Argentinian)","furniture_rooms","bathtub","bañadera","nouns"
"220","Spanish (European)","action_words","be","estar [estoy, estás…]","predicates"
"221","Spanish (European)","action_words","be","ser [soy, eres, es...]","predicates"
"222","Spanish (European)","states","be","estar (estoy jugando)","function_words"
"223","Spanish (Mexican)","states","be","estar","function_words"
"224","Spanish (Mexican)","states","be","ser","function_words"
"225","Spanish (Peruvian)","action_words","be","estar [estoy/estás…]","predicates"
"226","Spanish (Peruvian)","action_words","be","ser [soy/eres/es]","predicates"
"227","Spanish (Peruvian)","helping_verbs","be","estar (estoy jugando)","function_words"
"228","Spanish (Argentinian)","helping_verbs","be","estar","function_words"
"229","Spanish (Argentinian)","helping_verbs","be","ser","function_words"
"230","Spanish (European)","outside_places","beach","playa","other"
"231","Spanish (Mexican)","places","beach","playa","other"
"232","Spanish (Peruvian)","outside","beach","playa","nouns"
"233","Spanish (Argentinian)","places","beach","playa","other"
"234","Spanish (European)","food_drink","beans","lentejas","nouns"
"235","Spanish (Mexican)","food_drink","beans","ejotes","nouns"
"236","Spanish (Mexican)","food_drink","beans","frijoles","nouns"
"237","Spanish (Peruvian)","food_drink","beans","lentejas","nouns"
"238","Spanish (Argentinian)","food_drink","beans","lentejas","nouns"
"239","Spanish (European)","animals","bear","oso","nouns"
"240","Spanish (Mexican)","animals","bear","oso","nouns"
"241","Spanish (Argentinian)","animals","bear","oso","nouns"
"242","Spanish (European)","body_parts","beard","barba","nouns"
"243","Spanish (Mexican)","body_parts","beard","barba","nouns"
"244","Spanish (Peruvian)","body_parts","beard","barba","nouns"
"245","Spanish (Argentinian)","body_parts","beard","barba","nouns"
"246","Spanish (European)","connecting_words","because","porque","function_words"
"247","Spanish (Peruvian)","connecting_words","because","porque","function_words"
"248","Spanish (Argentinian)","connecting_words","because","porque","function_words"
"249","Spanish (European)","household","bed","cama","nouns"
"250","Spanish (Mexican)","furniture_rooms","bed","cama","nouns"
"251","Spanish (Peruvian)","household","bed","cama","nouns"
"252","Spanish (Argentinian)","furniture_rooms","bed","cama","nouns"
"253","Spanish (European)","animals","bee","abeja","nouns"
"254","Spanish (Mexican)","animals","bee","abeja","nouns"
"255","Spanish (Peruvian)","animals","bee","abeja","nouns"
"256","Spanish (Argentinian)","animals","bee","abeja","nouns"
"257","Spanish (European)","body_parts","belly button","ombligo","nouns"
"258","Spanish (Mexican)","body_parts","belly button","ombligo","nouns"
"259","Spanish (Peruvian)","body_parts","belly button","ombligo","nouns"
"260","Spanish (Argentinian)","body_parts","belly button","ombligo_pupo","nouns"
"261","Spanish (European)","clothing","belt","cinturón","nouns"
"262","Spanish (Peruvian)","clothing","belt","correa/cinturón","nouns"
"263","Spanish (Mexican)","furniture_rooms","bench","banco (outside)","nouns"
"264","Spanish (Argentinian)","furniture_rooms","bench","banco_mueble","nouns"
"265","Spanish (Argentinian)","places","bench","Banco_plaza","other"
"266","Spanish (European)","locations","beside","al lado","function_words"
"267","Spanish (Peruvian)","locations","beside","al lado","function_words"
"268","Spanish (Argentinian)","locations","beside","al_lado","function_words"
"269","Spanish (Mexican)","descriptive_words","better","mejor","predicates"
"270","Spanish (Argentinian)","descriptive_words","better","mejor","predicates"
"271","Spanish (European)","locations","between","entre","function_words"
"272","Spanish (Mexican)","prepositions","between","entre","function_words"
"273","Spanish (Peruvian)","locations","between","entre","function_words"
"274","Spanish (Argentinian)","quantifiers","between","entre","function_words"
"275","Spanish (European)","clothing","bib","babero","nouns"
"276","Spanish (Mexican)","clothing","bib","babero","nouns"
"277","Spanish (Peruvian)","clothing","bib","babero","nouns"
"278","Spanish (Argentinian)","clothing","bib","babero","nouns"
"279","Spanish (European)","vehicles","bicycle","bici","nouns"
"280","Spanish (Mexican)","vehicles","bicycle","bicicleta","nouns"
"281","Spanish (Peruvian)","vehicles","bicycle","bici","nouns"
"282","Spanish (Argentinian)","vehicles","bicycle","bicicleta/bici","nouns"
"283","Spanish (European)","descriptive_words","big","grande","predicates"
"284","Spanish (Mexican)","descriptive_words","big","grande","predicates"
"285","Spanish (Peruvian)","descriptive_words","big","grande","predicates"
"286","Spanish (Argentinian)","descriptive_words","big","grande","predicates"
"287","Spanish (European)","animals","bird","pájaro","nouns"
"288","Spanish (Mexican)","animals","bird","pájaro","nouns"
"289","Spanish (Peruvian)","animals","bird","pájaro","nouns"
"290","Spanish (Argentinian)","animals","bird","pájaro","nouns"
"291","Spanish (European)","action_words","bite","morder","predicates"
"292","Spanish (Mexican)","action_words","bite","morder","predicates"
"293","Spanish (Peruvian)","action_words","bite","morder","predicates"
"294","Spanish (Argentinian)","action_words","bite","morder","predicates"
"295","Spanish (European)","descriptive_words","black","negro","predicates"
"296","Spanish (Mexican)","descriptive_words","black","negro","predicates"
"297","Spanish (Peruvian)","descriptive_words","black","negro","predicates"
"298","Spanish (Argentinian)","descriptive_words","black","negro","predicates"
"299","Spanish (Mexican)","household","blanket","cobija","nouns"
"300","Spanish (Argentinian)","household","blanket","frazada","nouns"
"301","Spanish (European)","household","blender","batidora","nouns"
"302","Spanish (Peruvian)","household","blender","batidora","nouns"
"303","Spanish (Mexican)","games_routines","bless you","salud","other"
"304","Spanish (Argentinian)","games_routines","bless you","salud_chin_chin","other"
"305","Spanish (European)","toys","blocks","cubo","nouns"
"306","Spanish (Argentinian)","toys","blocks","cubos","nouns"
"307","Spanish (Mexican)","action_words","blow","soplar","predicates"
"308","Spanish (Argentinian)","action_words","blow","soplar","predicates"
"309","Spanish (European)","descriptive_words","blue","azul","predicates"
"310","Spanish (Mexican)","descriptive_words","blue","azul","predicates"
"311","Spanish (Peruvian)","descriptive_words","blue","azul","predicates"
"312","Spanish (Argentinian)","descriptive_words","blue","azul","predicates"
"313","Spanish (European)","vehicles","boat","barco","nouns"
"314","Spanish (Mexican)","vehicles","boat","barco","nouns"
"315","Spanish (Peruvian)","vehicles","boat","barco","nouns"
"316","Spanish (Argentinian)","vehicles","boat","barco","nouns"
"317","Spanish (European)","toys","book","cuento/libro","nouns"
"318","Spanish (Mexican)","toys","book","libro","nouns"
"319","Spanish (Peruvian)","toys","book","cuento/libro","nouns"
"320","Spanish (Argentinian)","toys","book","Libro_cuento","nouns"
"321","Spanish (European)","clothing","boots","bota/s","nouns"
"322","Spanish (Mexican)","clothing","boots","botas","nouns"
"323","Spanish (Argentinian)","clothing","boots","botas","nouns"
"324","Spanish (European)","food_drink","bottle","biberón","nouns"
"325","Spanish (European)","household","bottle","botella","nouns"
"326","Spanish (Mexican)","household","bottle","botella/mamila","nouns"
"327","Spanish (Peruvian)","food_drink","bottle","mamadera/biberón","nouns"
"328","Spanish (Peruvian)","household","bottle","botella","nouns"
"329","Spanish (Argentinian)","household","bottle","botella","nouns"
"330","Spanish (Argentinian)","household","bottle","mamadera_meme","nouns"
"331","Spanish (European)","toys","box","caja","nouns"
"332","Spanish (Mexican)","household","box","caja","nouns"
"333","Spanish (Argentinian)","household","box","caja","nouns"
"334","Spanish (Mexican)","people","boy","niño","other"
"335","Spanish (Argentinian)","people","boy","niño_nene","other"
"336","Spanish (European)","toys","bracelet","pulsera","nouns"
"337","Spanish (Peruvian)","toys","bracelet","pulsera","nouns"
"338","Spanish (Mexican)","games_routines","bravo","bravo","other"
"339","Spanish (Argentinian)","games_routines","bravo","bravo","other"
"340","Spanish (European)","food_drink","bread","pan","nouns"
"341","Spanish (Mexican)","food_drink","bread","pan","nouns"
"342","Spanish (Peruvian)","food_drink","bread","pan","nouns"
"343","Spanish (Argentinian)","food_drink","bread","pan","nouns"
"344","Spanish (European)","action_words","break","romper(se)","predicates"
"345","Spanish (Mexican)","action_words","break","romper","predicates"
"346","Spanish (Peruvian)","action_words","break","romper(se)","predicates"
"347","Spanish (Argentinian)","action_words","break","romper","predicates"
"348","Spanish (European)","action_words","breakfast (action)","desayunar","predicates"
"349","Spanish (Mexican)","action_words","breakfast (action)","desayunar","predicates"
"350","Spanish (Peruvian)","action_words","breakfast (action)","desayunar/tomar desayuno","predicates"
"351","Spanish (Argentinian)","action_words","breakfast (action)","desayunar","predicates"
"352","Spanish (Mexican)","body_parts","breast","chichi/pecho","nouns"
"353","Spanish (Argentinian)","body_parts","breast","pecho_teta","nouns"
"354","Spanish (European)","action_words","bring","traer","predicates"
"355","Spanish (Mexican)","action_words","bring","traer(se)","predicates"
"356","Spanish (Peruvian)","action_words","bring","traer","predicates"
"357","Spanish (Argentinian)","action_words","bring","traer_se","predicates"
"358","Spanish (European)","descriptive_words","broken","roto","predicates"
"359","Spanish (Mexican)","descriptive_words","broken","roto","predicates"
"360","Spanish (Peruvian)","descriptive_words","broken","roto","predicates"
"361","Spanish (Argentinian)","descriptive_words","broken","roto","predicates"
"362","Spanish (European)","household","broom","escoba","nouns"
"363","Spanish (Mexican)","household","broom","escoba","nouns"
"364","Spanish (Peruvian)","household","broom","escoba","nouns"
"365","Spanish (Argentinian)","household","broom","escoba","nouns"
"366","Spanish (European)","people","brother","hermano","other"
"367","Spanish (Mexican)","people","brother","hermano","other"
"368","Spanish (Peruvian)","people","brother","hermano(a)","other"
"369","Spanish (Argentinian)","people","brother","hermano","other"
"370","Spanish (European)","household","brush (object)","cepillo","nouns"
"371","Spanish (Mexican)","household","brush (object)","cepillo","nouns"
"372","Spanish (Peruvian)","household","brush (object)","cepillo/escobilla (de pelo)","nouns"
"373","Spanish (Argentinian)","household","brush (object)","cepillo","nouns"
"374","Spanish (Mexican)","toys","bubbles","burbujas","nouns"
"375","Spanish (Argentinian)","toys","bubbles","burbujas","nouns"
"376","Spanish (Peruvian)","toys","bucket","balde","nouns"
"377","Spanish (Argentinian)","household","bucket","balde","nouns"
"378","Spanish (European)","animals","bug","bicho","nouns"
"379","Spanish (Mexican)","animals","bug","bicho","nouns"
"380","Spanish (Peruvian)","animals","bug","bicho","nouns"
"381","Spanish (Argentinian)","animals","bug","bicho","nouns"
"382","Spanish (Mexican)","action_words","build","juntar","predicates"
"383","Spanish (Argentinian)","action_words","build","juntar","predicates"
"384","Spanish (European)","animals","bull","toro","nouns"
"385","Spanish (Peruvian)","animals","bull","toro","nouns"
"386","Spanish (European)","animals","bunny","conejo","nouns"
"387","Spanish (Mexican)","animals","bunny","conejo","nouns"
"388","Spanish (Peruvian)","animals","bunny","conejo","nouns"
"389","Spanish (Argentinian)","animals","bunny","conejo","nouns"
"390","Spanish (Mexican)","action_words","burn","quemar(se)","predicates"
"391","Spanish (Peruvian)","action_words","burn","quemar","predicates"
"392","Spanish (Argentinian)","action_words","burn","quemar_se","predicates"
"393","Spanish (European)","vehicles","bus","autobús/bus","nouns"
"394","Spanish (Mexican)","vehicles","bus","autobús","nouns"
"395","Spanish (Peruvian)","vehicles","bus","autobús/bus","nouns"
"396","Spanish (Peruvian)","vehicles","bus","combi/micro","nouns"
"397","Spanish (Argentinian)","vehicles","bus","micro_colectivo","nouns"
"398","Spanish (European)","connecting_words","but","pero","function_words"
"399","Spanish (Mexican)","prepositions","but","pero","function_words"
"400","Spanish (Peruvian)","connecting_words","but","pero","function_words"
"401","Spanish (Argentinian)","quantifiers","but","pero","function_words"
"402","Spanish (European)","body_parts","butt","culo","nouns"
"403","Spanish (Mexican)","body_parts","butt","nalgas","nouns"
"404","Spanish (Peruvian)","body_parts","butt","poto","nouns"
"405","Spanish (Argentinian)","body_parts","butt","cola_culo","nouns"
"406","Spanish (Mexican)","food_drink","butter","mantequilla","nouns"
"407","Spanish (Argentinian)","food_drink","butter","manteca","nouns"
"408","Spanish (European)","animals","butterfly","mariposa","nouns"
"409","Spanish (Mexican)","animals","butterfly","mariposa","nouns"
"410","Spanish (Argentinian)","animals","butterfly","mariposa","nouns"
"411","Spanish (European)","clothing","button","botón","nouns"
"412","Spanish (Mexican)","clothing","button","botón","nouns"
"413","Spanish (Peruvian)","clothing","button","botón","nouns"
"414","Spanish (Argentinian)","clothing","button","botón","nouns"
"415","Spanish (European)","action_words","buy","comprar","predicates"
"416","Spanish (Mexican)","action_words","buy","comprar","predicates"
"417","Spanish (Peruvian)","action_words","buy","comprar","predicates"
"418","Spanish (Argentinian)","action_words","buy","comprar","predicates"
"419","Spanish (Mexican)","games_routines","bye","adíos/byebye","other"
"420","Spanish (Peruvian)","games_routines","bye","chau/adiós","other"
"421","Spanish (Argentinian)","games_routines","bye","adiós_chau","other"
"422","Spanish (European)","food_drink","cake","bizcocho","nouns"
"423","Spanish (European)","food_drink","cake","tarta","nouns"
"424","Spanish (Mexican)","food_drink","cake","pastel","nouns"
"425","Spanish (Peruvian)","food_drink","cake","queque","nouns"
"426","Spanish (Argentinian)","food_drink","cake","torta","nouns"
"427","Spanish (European)","action_words","call","llamar","predicates"
"428","Spanish (Peruvian)","action_words","call","llamar","predicates"
"429","Spanish (Mexican)","household","camera","cámara","nouns"
"430","Spanish (Peruvian)","household","camera","fotos/cámara","nouns"
"431","Spanish (Argentinian)","household","camera","camara","nouns"
"432","Spanish (European)","action_words","can","poder","predicates"
"433","Spanish (European)","states","can","poder (puedes correr)","function_words"
"434","Spanish (Argentinian)","action_words","can","poder","predicates"
"435","Spanish (Mexican)","action_words","can (auxiliary)","poder","predicates"
"436","Spanish (Peruvian)","action_words","can (auxiliary)","poder [puedes]","predicates"
"437","Spanish (Peruvian)","helping_verbs","can (auxiliary)","poder (puedes correr)","function_words"
"438","Spanish (Mexican)","household","candle","vela","nouns"
"439","Spanish (Argentinian)","household","candle","vela","nouns"
"440","Spanish (European)","food_drink","candy","caramelo","nouns"
"441","Spanish (Mexican)","food_drink","candy","dulce","nouns"
"442","Spanish (Peruvian)","food_drink","candy","caramelo","nouns"
"443","Spanish (Argentinian)","food_drink","candy","caramelo","nouns"
"444","Spanish (European)","vehicles","car","coche","nouns"
"445","Spanish (Mexican)","vehicles","car","carro/coche","nouns"
"446","Spanish (Peruvian)","vehicles","car","carro/auto","nouns"
"447","Spanish (Argentinian)","vehicles","car","auto","nouns"
